href,folder,baseurl,yearmonth
https://globalnightlight.s3.amazonaws.com/npp_201901/npp_201901_catalog.json,npp_201901,https://globalnightlight.s3.amazonaws.com,201901
https://globalnightlight.s3.amazonaws.com/npp_201902/npp_201902_catalog.json,npp_201902,https://globalnightlight.s3.amazonaws.com,201902
https://globalnightlight.s3.amazonaws.com/npp_201903/npp_201903_catalog.json,npp_201903,https://globalnightlight.s3.amazonaws.com,201903
https://globalnightlight.s3.amazonaws.com/npp_201904/npp_201904_catalog.json,npp_201904,https://globalnightlight.s3.amazonaws.com,201904
https://globalnightlight.s3.amazonaws.com/npp_201905/npp_201905_catalog.json,npp_201905,https://globalnightlight.s3.amazonaws.com,201905
https://globalnightlight.s3.amazonaws.com/npp_201906/npp_201906_catalog.json,npp_201906,https://globalnightlight.s3.amazonaws.com,201906
https://globalnightlight.s3.amazonaws.com/npp_201907/npp_201907_catalog.json,npp_201907,https://globalnightlight.s3.amazonaws.com,201907
https://globalnightlight.s3.amazonaws.com/npp_201908/npp_201908_catalog.json,npp_201908,https://globalnightlight.s3.amazonaws.com,201908
https://globalnightlight.s3.amazonaws.com/npp_201909/npp_201909_catalog.json,npp_201909,https://globalnightlight.s3.amazonaws.com,201909
https://globalnightlight.s3.amazonaws.com/npp_201910/npp_201910_catalog.json,npp_201910,https://globalnightlight.s3.amazonaws.com,201910
https://globalnightlight.s3.amazonaws.com/npp_201911/npp_201911_catalog.json,npp_201911,https://globalnightlight.s3.amazonaws.com,201911
https://globalnightlight.s3.amazonaws.com/npp_201912/npp_201912_catalog.json,npp_201912,https://globalnightlight.s3.amazonaws.com,201912
https://globalnightlight.s3.amazonaws.com/npp_202001/npp_202001_catalog.json,npp_202001,https://globalnightlight.s3.amazonaws.com,202001
https://globalnightlight.s3.amazonaws.com/npp_202002/npp_202002_catalog.json,npp_202002,https://globalnightlight.s3.amazonaws.com,202002
https://globalnightlight.s3.amazonaws.com/npp_202003/npp_202003_catalog.json,npp_202003,https://globalnightlight.s3.amazonaws.com,202003
https://globalnightlight.s3.amazonaws.com/npp_202004/npp_202004_catalog.json,npp_202004,https://globalnightlight.s3.amazonaws.com,202004
https://globalnightlight.s3.amazonaws.com/npp_202005/npp_202005_catalog.json,npp_202005,https://globalnightlight.s3.amazonaws.com,202005
https://globalnightlight.s3.amazonaws.com/npp_202006/npp_202006_catalog.json,npp_202006,https://globalnightlight.s3.amazonaws.com,202006
https://globalnightlight.s3.amazonaws.com/npp_202007/npp_202007_catalog.json,npp_202007,https://globalnightlight.s3.amazonaws.com,202007
https://globalnightlight.s3.amazonaws.com/npp_202008/npp_202008_catalog.json,npp_202008,https://globalnightlight.s3.amazonaws.com,202008
https://globalnightlight.s3.amazonaws.com/npp_202009/npp_202009_catalog.json,npp_202009,https://globalnightlight.s3.amazonaws.com,202009
https://globalnightlight.s3.amazonaws.com/npp_202010/npp_202010_catalog.json,npp_202010,https://globalnightlight.s3.amazonaws.com,202010
https://globalnightlight.s3.amazonaws.com/npp_202011/npp_202011_catalog.json,npp_202011,https://globalnightlight.s3.amazonaws.com,202011
https://globalnightlight.s3.amazonaws.com/npp_202012/npp_202012_catalog.json,npp_202012,https://globalnightlight.s3.amazonaws.com,202012
